layer,bar,Det_id_0,Det_id_1,bx_shift,mean_shift
16.0,8.0,411570440.0,411046152.0,720,-9.356901398149414
16.0,9.0,411570441.0,411046153.0,720,-18.185408234835915
16.0,10.0,411570442.0,411046154.0,720,0.173736305412667
16.0,11.0,411570443.0,411046155.0,720,4.112467766387148
17.0,0.0,411570688.0,411046400.0,720,3.340389185977421
17.0,1.0,411570689.0,411046401.0,720,2.248588173145182
17.0,2.0,411570690.0,411046402.0,720,0.9569928194938597
17.0,3.0,411570691.0,411046403.0,720,-10.911709884134442
17.0,4.0,411570692.0,411046404.0,720,8.952867582738822
17.0,5.0,411570693.0,411046405.0,720,4.447404194010015
17.0,6.0,411570694.0,411046406.0,720,9.145352302002461
17.0,7.0,411570695.0,411046407.0,720,-3.315288835925728
17.0,8.0,411570696.0,411046408.0,720,27.91958031145039
17.0,9.0,411570697.0,411046409.0,720,35.586492533873276
17.0,10.0,411570698.0,411046410.0,720,4.742698676136126
17.0,11.0,411570699.0,411046411.0,720,-4.656638240563883
18.0,0.0,411570944.0,411046656.0,720,22.994359231183452
18.0,1.0,411570945.0,411046657.0,720,-28.059140363815427
18.0,2.0,411570946.0,411046658.0,720,0
18.0,3.0,411570947.0,411046659.0,720,7.493296583639581
18.0,4.0,411570948.0,411046660.0,720,1.7580979976388982
18.0,5.0,411570949.0,411046661.0,720,11.706590359868388
18.0,6.0,411570950.0,411046662.0,720,3.0231348931791566
18.0,7.0,411570951.0,411046663.0,720,1.9706698993161202
18.0,8.0,411570952.0,411046664.0,720,-6.103816639430908
18.0,9.0,411570953.0,411046665.0,720,-2.353601361950669
18.0,10.0,411570954.0,411046666.0,720,-2.80032653231006
18.0,11.0,411570955.0,411046667.0,720,12.098717727560233
