layer,strip,end,multiplier,low,upper
16,0,1,10,60,1060
16,1,1,10,340,1400
16,2,1,10,380,1140
16,3,1,23,300,1140
16,4,1,18,260,1020
16,5,1,16,300,1020
16,6,1,8,220,1020
16,7,1,10,300,1540
16,8,1,10,60,1140
16,9,1,8,200,1200
16,10,1,10,100,1340
16,11,1,18,100,1300
17,0,1,21,180,1020
17,1,1,20,180,1060
17,2,1,20,180,1020
17,3,1,16,200,1400
17,4,1,21,300,1100
17,5,1,10,180,1060
17,6,1,21,200,1400
17,7,1,10,10,2000
17,8,1,8,200,1420
17,9,1,8,60,1220
17,10,1,16,180,1060
17,11,1,12,100,1180
18,0,1,10,100,1400
18,1,1,21,260,1180
18,2,1,21,300,1060
18,3,1,21,260,1060
18,4,1,9,260,1140
18,5,1,15,20,2000
18,6,1,18,20,1720
18,7,1,17,20,1840
18,8,1,10,100,900
18,9,1,14,220,860
18,10,1,20,220,900
18,11,1,10,60,1020
19,0,1,10,60,940
19,1,1,10,260,980
19,2,1,20,340,1060
19,3,1,18,220,1440
19,4,1,10,340,1020
19,5,1,15,20,1960
19,6,1,20,300,1020
19,7,1,18,340,1420
19,8,1,16,140,1140
19,9,1,21,340,1200
19,10,1,24,340,980
19,11,1,10,1,2000
