layer,strip,end,multiplier,mpv,eta,sigma,A,chi_square
9,4,0,16,588.3265252192044,51.50778356304446,91.75824716162217,2860.4134898153384,260.73037466578387
9,5,0,12,590.8088631250087,59.16789838923256,114.37252989202739,1078.138117603687,524.8264088568152
9,6,0,14,673.3363844092617,51.13853938414536,144.0741876699659,425.9986455425466,397.05633211963584
9,7,0,16,599.7877598123063,51.07055858746966,134.9471597618353,284.9539426283089,131.56304136562386
10,0,0,23,612.5255007932282,63.24794012145355,80.93219183329641,144.52343035799754,48.69682699902773
10,1,0,20,645.4155433208483,53.3212290727906,113.25015433599386,424.3679932234823,111.95285305078173
10,2,0,20,544.5585179994041,63.64766676262607,54.6855469790676,951.2984434966344,156.18154640079257
10,3,0,12,592.093714215338,54.2316927535682,120.8010992655019,1087.0871692847984,302.37953471977625
10,4,0,14,610.3903413620341,50.21278303311974,107.40550290117254,2908.671550506753,367.5300115929398
10,5,0,12,564.942768877645,55.18507093943179,90.07257406990229,3812.7021325785054,839.7543531116837
10,6,0,18,571.668887121046,57.39802557077101,60.62484015256491,3235.767410068306,347.1300808116858
10,7,0,12,641.1507459831996,52.16932245987274,118.70087176642025,1544.4376509366095,435.45393423286
10,8,0,14,648.6451396641615,49.2137026145686,121.00782396692473,599.4527410230619,206.13969551922483
10,9,0,18,606.2781551330269,35.75298023883368,129.48369173180956,417.063715203025,96.83848580166094
10,10,0,11,644.5370587069406,18.23006767844845,153.22276953091279,281.3202696041898,68.10071577986251
10,11,0,18,661.5210353848476,40.67707500918304,145.07473083287178,127.80468588123139,100.96285476766472
11,0,0,13,581.8547484192164,34.83111047929105,151.75636196676004,197.74027445483603,202.23918564770344
11,1,0,10,652.4888002096635,43.436972353319064,152.6438651455125,434.06993749727286,462.9508100600701
11,2,0,16,703.8021762742816,54.748876578524076,108.41335497519916,752.7953701145873,72.69755186165887
11,3,0,15,690.8011101410183,58.592084475708724,113.35477518940132,1438.7740431860816,583.3005469416254
11,4,0,12,606.3314569001058,44.49040657215297,125.10987663597041,3167.2441606755074,455.0115308696442
11,5,0,12,566.050383124499,41.86794069951445,109.70929296668314,4097.013933441577,597.3327164411505
11,6,0,12,528.0554406960696,55.66401053721779,99.6550425253172,2514.3479668016016,462.731276187825
11,7,0,10,643.4890548989135,48.698079293418616,104.019956733002,1107.9567598771844,258.150363921895
11,8,0,15,642.581068787419,51.010924262233814,128.35759174545817,434.6832900474197,261.43512276289266
11,9,0,10,588.494454387239,49.74394615413352,112.35802915272329,299.42943227247736,143.5517778889181
11,10,0,14,620.1818346724644,39.05734289675881,117.50197852178376,185.6484078945358,111.09327752827882
11,11,0,10,668.0792152926871,83.10095998638562,210.6664391963007,67.37466140466722,246.44901121743803
1,0,1,8,428.9299241016219,46.48092160427682,100.86739431836958,842.4677570425664,474.3774055703815
1,1,1,14,496.9717819095765,82.9047066349834,58.67780925300694,1367.363373006776,109.92105924610175
1,2,1,22,483.60720290120616,46.536036313410854,87.32294208496609,3791.7213532809255,170.2364281386868
1,3,1,12,483.5009483343868,59.11660327225121,88.35337341068876,4285.412756994354,840.4975791179027
1,4,1,14,447.0303639980771,36.53531675821873,92.01874430824938,3207.4094751732255,327.29296935830365
1,5,1,14,454.41624213353055,44.865671089011,98.80377883509627,1153.9520967136339,338.31117292354475
1,6,1,8,526.557617398889,45.72172521994581,157.32194988257706,380.69320208597526,246.11254826775058
1,7,1,9,459.3678382430533,32.247372522451606,137.33781881147442,275.3349979791642,164.72969583921804
