layer,strip,end,pedestal,std_dev,pedestal_per_time_sample,new_range,new_range2,new_range3
7,3,1,721.6253864236492,16.099474395866974,91,865.950463708379,802.122758402984,882.6201303823188
7,4,0,813.3269835660011,15.50099022431053,101,975.9923802792013,890.8319346875537,968.3368858091064
7,4,1,771.2720493645655,15.658234618564665,95,925.5264592374784,849.5632224573889,927.8543955502122
7,5,0,822.1219734207173,13.946074859579603,103,986.5463681048608,891.8523477186153,961.5827220165133
7,5,1,816.0307702928293,14.310587398221358,103,979.2369243513951,887.5837072839361,959.1366442750428
7,6,0,1316.8316874694078,25.11726741574202,165,1580.1980249632893,1442.418024548118,1568.004361626828
7,6,1,792.6585174073984,12.80969737882175,99,951.190220888878,856.7070043015071,920.755491195616
7,7,0,732.2158137559145,11.112517194610056,91,878.6589765070973,787.7783997289648,843.340985702015
7,7,1,832.7286108718481,11.22823891607432,103,999.2743330462176,888.8698054522197,945.0110000325913
8,0,0,816.4692759582009,12.74221608054962,103,979.763131149841,880.180356360949,943.8914367636971
8,0,1,811.1903219312213,12.985422193574992,101,973.4283863174657,876.1174328990962,941.0445438669713
8,1,0,789.5190098537026,15.030429831477267,99,947.4228118244432,864.671159011089,939.8233081684753
8,1,1,836.8359037476138,14.171242794993171,105,1004.2030844971364,907.6921177225796,978.5483316975454
8,2,0,755.3166368645238,15.33715514340741,95,906.3799642374286,832.0024125815609,908.6881882985979
8,2,1,831.0506039664334,15.045413179273384,103,997.26072475972,906.2776698628004,981.5047357591673
8,3,0,765.1762554323451,15.036732993986858,95,918.211506518814,840.3599204022794,915.5435853722137
8,3,1,739.1897187091989,16.491865540677885,93,887.0276624510387,821.6490464125884,904.1083741159778
8,4,0,745.7286932227311,14.546622794874253,93,894.8744318672773,818.4618071971023,891.1949211714737
8,4,1,839.4205897605808,16.361212806351812,105,1007.3047077126968,921.2266537923399,1003.0327178240989
8,5,0,761.5556782829207,13.640898802212574,95,913.8668139395048,829.7601722939835,897.9646663050464
8,5,1,838.7706106545857,14.977896806730554,105,1006.5247327855028,913.6600946882384,988.5495787218912
8,6,0,827.982058031527,12.810781489387953,103,993.5784696378324,892.0359654784668,956.0898729254066
8,6,1,769.8794603424285,12.71039509346279,95,923.8553524109142,833.4314358097424,896.9834112770563
8,7,0,819.4625205440298,11.870340349692238,103,983.3550246528356,878.814222292491,938.1659240409522
8,7,1,752.2298895734738,10.457722307266025,95,902.6758674881684,804.5185011098039,856.807112646134
9,0,0,744.9948251815515,12.15219823150587,95,893.9937902178618,805.7558163390809,866.5168074966102
9,0,1,757.710913830084,14.63675973720354,95,909.2530965961008,830.8947125161017,904.0785112021194
9,1,0,755.8858785264887,16.303367353699844,95,907.0630542317864,837.402715294988,918.9195520634871
9,1,1,705.4302494049467,17.657819039384954,87,846.516299285936,793.7193446018715,882.0084397987962
9,2,0,801.2532543371826,17.655029232029328,101,961.5039052046192,889.5284004973292,977.8035466574759
9,2,1,800.6278879100311,15.733923234488143,101,960.7534654920372,879.2975040824717,957.9671202549125
9,3,0,761.130132828246,17.66437517342978,95,913.3561593938952,849.4520086953949,937.7738845625438
9,3,1,811.2430960684203,14.543366971506146,101,973.4917152821045,883.9599309259511,956.6767657834818
9,4,0,808.2520653524532,17.579401005377168,101,969.9024784229438,896.149070379339,984.0460754062249
9,4,1,852.935965678208,12.110811913600172,107,1023.5231588138496,913.4900252462089,974.0440848142098
9,5,0,861.9488658998907,12.37702785189224,109,1034.338639079869,923.8340051593519,985.7191444188131
9,5,1,859.4731282288534,13.51106022635568,107,1031.367753874624,927.0284293606318,994.5837304924102
9,6,0,803.7848315702238,15.183716345426006,101,964.5417978842684,879.7034132973538,955.6219950244838
9,6,1,768.898056063376,14.6940684098855,95,922.6776672760512,842.3683981128034,915.838740162231
9,7,0,824.0090319882919,14.394577069531596,103,988.8108383859502,895.9819173359499,967.9548026836078
9,7,1,795.6002819627474,16.684801036106837,95,954.7203383552968,879.0242871432816,962.4482923238158
10,0,0,744.4995916483205,15.606452672848162,95,893.3995099779845,822.5318550125612,900.5641183768021
